Department name,Degree type,Handle,Browse URL,Year
Civil and Environmental Engineering,Master's degree,1721.1/7652,https://dspace.mit.edu/handle/1721.1/7652/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Civil and Environmental Engineering,Ph.D. / Sc.D.,1721.1/7653,https://dspace.mit.edu/handle/1721.1/7653/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
"Earth, Atmospheric and Planetary Sciences",Ph.D. / Sc.D.,1721.1/7654,https://dspace.mit.edu/handle/1721.1/7654/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
"Earth, Atmospheric, and Planetary Sciences",Bachelor's degree,1721.1/7655,https://dspace.mit.edu/handle/1721.1/7655/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
"Earth, Atmospheric, and Planetary Sciences",Master's degree,1721.1/7656,https://dspace.mit.edu/handle/1721.1/7656/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Economics,Bachelor's degree,1721.1/7657,https://dspace.mit.edu/handle/1721.1/7657/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Economics,Master's degree,1721.1/7658,https://dspace.mit.edu/handle/1721.1/7658/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Economics,Ph.D. / Sc.D.,1721.1/7659,https://dspace.mit.edu/handle/1721.1/7659/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Electrical Engineering and Computer Sciences,Bachelor's degree,1721.1/7661,https://dspace.mit.edu/handle/1721.1/7661/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Electrical Engineering and Computer Sciences,Engineer's degree,1721.1/7662,https://dspace.mit.edu/handle/1721.1/7662/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Electrical Engineering and Computer Sciences,Master's degree,1721.1/7663,https://dspace.mit.edu/handle/1721.1/7663/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Electrical Engineering and Computer Sciences,Ph.D. / Sc.D.,1721.1/7660,https://dspace.mit.edu/handle/1721.1/7660/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Humanities,Bachelor's degree,1721.1/7666,https://dspace.mit.edu/handle/1721.1/7666/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Humanities,Master's degree,1721.1/7667,https://dspace.mit.edu/handle/1721.1/7667/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Humanities,Ph.D. / Sc.D.,1721.1/7665,https://dspace.mit.edu/handle/1721.1/7665/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Interdisciplinary Science,Bachelor's degree,1721.1/7671,https://dspace.mit.edu/handle/1721.1/7671/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Interdisciplinary Science,Master's degree,1721.1/7672,https://dspace.mit.edu/handle/1721.1/7672/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Interdisciplinary Science,Ph.D. / Sc.D.,1721.1/7670,https://dspace.mit.edu/handle/1721.1/7670/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Linguistics and Philosophy,Bachelor's degree,1721.1/7674,https://dspace.mit.edu/handle/1721.1/7674/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Linguistics and Philosophy,Master's degree,1721.1/7675,https://dspace.mit.edu/handle/1721.1/7675/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Linguistics and Philosophy,Ph.D. / Sc.D.,1721.1/7673,https://dspace.mit.edu/handle/1721.1/7673/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Materials Science and Engineering,Bachelor's degree,1721.1/7678,https://dspace.mit.edu/handle/1721.1/7678/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Materials Science and Engineering,Engineer's degree,1721.1/7679,https://dspace.mit.edu/handle/1721.1/7679/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Materials Science and Engineering,Master's degree,1721.1/7677,https://dspace.mit.edu/handle/1721.1/7677/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
